946728000       , -193071600.829189, -277242344.134903, -136882893.973839, 908.462067289743, -549.908244622714, -142.389561648129
946742400       , -179745105.042157, -284969787.72389, -138827833.691289, 930.901755502335, -516.646499679982, -126.052536037271
946756800       , -166104957.073445, -292208586.952353, -140534369.948351, 951.746552450073, -482.472862419849, -109.488792045047
946771200       , -152174644.17807, -298946095.699134, -141999495.590204, 970.952242164419, -447.454827244662, -92.7313408008198
946785600       , -137978194.786245, -305170556.106824, -143220633.815095, 988.478316875248, -411.662224865147, -75.8138114146749
946800000       , -123540210.882582, -310871266.39228, -144195712.497715, 1004.28861195362, -375.167253288472, -58.7704005910852
946814400       , -108885786.467454, -316038586.01448, -144923158.209207, 1018.3514013066 , -338.044166607818, -41.6357312668483
946828800       , -94040442.0763422, -320663963.490976, -145401901.43931, 1030.63955524887, -300.368999892111, -24.4447202907507
946843200       , -79030057.1982564, -324739960.113199, -145631379.871687, 1041.13067230319, -262.219278582206, -7.23244214852812
946857600       , -63880800.9851475, -328260269.353839, -145611539.663243, 1049.80718303232, -223.673714866294, 9.96601002959362
946872000       , -48619061.669167, -331219731.797777, -145342834.6982 , 1056.65642435038, -184.811893756648, 27.1156648704865
946886400       , -33271375.124343, -333614345.46699, -144826223.805689, 1061.67068314998, -145.713951787825, 44.1818132154313
946900800       , -17864353.023319, -335441271.455881, -144063165.95038, 1064.84720850487, -106.460251392376, 61.130147264474 
946915200       , -2424611.0473542, -336698834.836657, -143055613.425163, 1066.18819205786, -67.1310542367399, 77.9268969782262
946929600       , 13021302.3899735, -337386520.8441 , -141806003.095455, 1065.70071680564, -27.8061966201635, 94.5389624437211
946944000       , 28446976.4504861, -337504966.390844, -140317245.762877, 1063.39667476776, 11.4352297995986, 110.93404087048 
946958400       , 43826206.7679123, -337055947.015885, -138592713.735559, 1059.29265464802, 50.51518879697  , 127.080746990191
946972800       , 59133062.5064139, -336042359.408626, -136636226.708438, 1053.40980076515, 89.3569989737681, 142.948725754134
946987200       , 74341951.1786034, -334468199.694996, -134452036.0728 , 1045.77364516622, 127.885618901229, 158.508756309053
947001600       , 89427680.8495507, -332338537.711805, -132044807.788002, 1036.41391504397, 166.027915469539, 173.732846387801
947016000       , 104365519.386246, -329659487.528333, -129419603.959298, 1025.36431789866, 203.712913175481, 188.594316397406
947030400       , 119131250.449354, -326438174.505989, -126581863.275669, 1012.66230714216, 240.872022391664, 203.067872645476
947044800       , 133701225.964643, -322682699.213403, -123537380.467728, 998.348831036388, 277.439245004327, 217.129669310803
947059200       , 148052414.854486, -318402098.533705, -120292284.950927, 982.468067990843, 313.351356168976, 230.757358930734
947073600       , 162162447.854024, -313606304.316968, -116853018.820884, 965.067151316147, 348.548061304136, 243.930131342412
947088000       , 176009658.282073, -308306099.940865, -113226314.367656, 946.195886545349, 382.972127813912, 256.62874117322 
947102400       , 189573118.681075, -302513075.14696, -109419171.273332, 925.906464394586, 416.569491391165, 268.835524124908
947116800       , 202832673.284839, -296239579.520079, -105438833.652636, 904.253172344034, 449.289337098028, 280.534402432835
947131200       , 215768966.315025, -289498674.97276, -101292767.089817, 881.29210768346 , 481.084155742588, 291.710880004599
947145600       , 228363466.146776, -282304087.587003, -96988635.8173003, 857.080894688979, 511.909776364652, 302.352027849193
947160000       , 240598485.421732, -274670159.152137, -92534280.1712624, 831.678408386229, 541.725375905358, 312.446460497538
947174400       , 252457197.219959, -266611798.720216, -87937694.4498292, 805.144507115021, 570.49346736153 , 321.984304187149
947188800       , 263923647.433185, -258144434.479948, -83207005.286623, 777.539775851615, 598.179867914197, 330.957157637551
947203200       , 274982763.507075, -249283966.227491, -78350450.6413178, 748.92528197322 , 624.753648669898, 339.358046279234
947217600       , 285620359.744238, -240046718.688376, -73376359.4952725, 719.362344876009, 650.187067763493, 347.18137081818 
947232000       , 295823139.376375, -230449395.918117, -68293132.3281557, 688.91232059158 , 674.455488642673, 354.422851021669
947246400       , 305578693.63048 , -220509036.982837, -63109222.4382988, 657.63640229672 , 697.537285390146, 361.079465601206
947260800       , 314875498.022938, -210242973.094142, -57833118.1571618, 625.595437219124, 719.413736981016, 367.149389046836
947275200       , 323702906.1224  , -199668786.344964, -52473325.9960823, 592.849760412916, 740.068912294002, 372.631926230749
947289600       , 332051141.027965, -188804270.167865, -47038354.7518922, 559.459045510766, 759.489547680165, 377.527445555109
947304000       , 339911284.806731, -177667391.610102, -41536700.5873943, 525.482172332721, 777.664918827692, 381.837311368679
947318400       , 347275266.134673, -166276255.49673, -35976833.0920208, 490.977111154175, 794.586708565004, 385.563816328371
947332800       , 354135846.378649, -154649070.529118, -30367182.3193355, 456.000823183713, 810.248872134882, 388.710114310147
947347200       , 360486604.35069 , -142804117.344784, -24716126.7889748, 420.609176700099, 824.647501369085, 391.280154419881
947361600       , 366321919.956763, -130759718.545637, -19031982.4340007, 384.85687817548 , 837.780689071066, 393.27861659094 
947376000       , 371636956.951477, -118534210.681723, -13322992.4670069, 348.797417615864, 849.648394788774, 394.710849192362
947390400       , 376427644.998933, -106145918.163545, -7597318.13347548, 312.483027275904, 860.252313032616, 395.582809010389
947404800       , 380690661.226877, -93613129.0604205, -1863030.31571192, 275.964652850021, 869.595744868359, 395.901003907531
947419200       , 384423411.448073, -80954072.7292758, 3871898.05356975, 239.291936205767, 877.683473692188, 395.672438407709
947433600       , 387624011.209676, -68186899.2093994, 9599598.81150752, 202.513208703696, 884.521645876808, 394.904562403878
947448000       , 390291266.816383, -55329660.3071138, 15312314.665811 , 165.675494141409, 890.117656865358, 393.605223136183
